
New Run at  07/21/2016 17:47:50
, Time, RandomReward; LearnWReward
data,1283292000000,0;10429;0
data,1228086000000,0;16644;0
data,1272664800000,0;13244;0
data,1191189600000,0;17760;0
data,1246399200000,0;8044;0
data,1254348000000,0;13234;0
data,1254348000000,0;16401;0
data,1246399200000,0;15599;0
data,1149112800000,0;6632;0
data,1298934000000,0;652;0
data,1220220000000,0;16852;0
data,1270072800000,0;14238;0
data,1254348000000,0;2533;0
data,1122847200000,0;755;0
data,1277935200000,0;4822;0
data,1175378400000,0;718;0
data,1193871600000,0;5735;0
data,1267398000000,0;1011;0
data,1199142000000,1;17399;0
data,1246399200000,1;5691;1
data,1280613600000,1;943;1
data,1283292000000,1;50;1
data,1212271200000,1;18208;1
data,1230764400000,1;6812;1
data,1267398000000,1;10311;1
data,1225494000000,1;929;1
data,1293836400000,1;4680;1
data,1214863200000,1;4335;1
data,1214863200000,1;2137;1
data,1259622000000,1;1342;1
data,1177970400000,1;15955;1
data,1291158000000,1;1046;1
data,1238536800000,1;8382;1
data,1280613600000,1;15842;1
data,1254348000000,1;7099;1
data,1264978800000,1;1866;2
data,1209592800000,1;5462;2
data,1285884000000,1;6186;2
data,1249077600000,2;179;2
data,1180648800000,2;957;3
data,1304600809888,2;4276;3
data,1217541600000,2;4613;3
data,1209592800000,2;7911;3
data,1304667929964,2;2004;3
data,1264978800000,2;4105;3
data,1217541600000,2;11054;3
data,1230764400000,2;1866;3
data,1180648800000,2;11302;3
data,1241128800000,2;11018;3
data,1275343200000,2;3717;3
data,1296514800000,2;7835;3
data,1275343200000,2;4680;3
data,1212271200000,2;1390;4
data,1254348000000,2;3068;5
data,1162335600000,2;6446;5
data,1277935200000,2;10973;5
data,1270072800000,2;10581;5
data,1262300400000,3;229;6
data,1249077600000,3;425;6
data,1254348000000,3;6357;6
data,1175378400000,3;807;6
data,1291158000000,3;2961;6
data,1196463600000,3;2597;6
data,1262300400000,3;12392;6
data,1185919200000,3;2828;6
data,1285884000000,3;498;7
data,1304598164008,3;1981;7
data,1267398000000,3;4203;7
data,1280613600000,3;230;8
data,1293836400000,3;3255;8
data,1259622000000,3;9416;8
data,1267398000000,3;6223;8
data,1188597600000,3;355;8
data,1304700094346,3;3255;8
data,1259622000000,3;191;8
data,1283292000000,3;1810;8
data,1283292000000,3;3771;8
data,1214863200000,3;15272;8
data,1283292000000,3;18208;8
data,1257030000000,3;10839;8
data,1180648800000,3;12033;8
data,1175378400000,3;1216;8
data,1283292000000,4;2469;8
data,1209592800000,4;3056;8
data,1298934000000,4;3259;8
data,1275343200000,4;15446;8
data,1191189600000,4;190;9
data,1304936927650,4;5163;9
data,1207000800000,4;15260;9
data,1222812000000,4;3470;9
data,1275343200000,4;300;10
data,1204326000000,4;3259;10
data,1164927600000,4;16582;10
data,1212271200000,4;15375;10
data,1264978800000,4;13610;10
data,1257030000000,4;1814;10
data,1272664800000,5;5030;11
data,1246399200000,5;896;11
data,1214863200000,5;1116;11
data,1233442800000,5;4820;11
data,1183240800000,5;15645;11
data,1201820400000,5;12292;11
data,1243807200000,5;14238;11
data,1298934000000,5;416;11
data,1235862000000,5;857;11
data,1185919200000,5;11577;11
data,1249077600000,5;8835;11
data,1207000800000,5;7343;11
data,1267398000000,5;11548;11
data,1183240800000,5;12202;11
data,1280613600000,5;5937;11
data,1233442800000,5;1048;11
data,1162335600000,5;6450;11
data,1212271200000,5;3200;11
data,1249077600000,5;7644;11
data,1262300400000,5;11623;11
data,1298934000000,5;3331;11
data,1193871600000,5;13214;11
data,1270072800000,5;3456;11
data,1259622000000,5;1502;12
data,1257030000000,6;13180;12
data,1291158000000,6;1687;12
data,1262300400000,6;859;12
data,1164927600000,6;7663;12
data,1193871600000,6;9259;12
data,1196463600000,6;2268;12
data,1249077600000,6;17505;12
data,1283292000000,6;9261;12
data,1193871600000,6;12619;12
data,1146434400000,6;4472;12
data,1185919200000,6;18532;12
data,1204326000000,6;2591;12
data,1204326000000,6;65;13
data,1270072800000,6;5363;13
data,1249077600000,6;14144;13
data,1230764400000,6;11861;13
data,1291158000000,6;16531;13
data,1220220000000,6;1675;13
data,1283292000000,6;4799;13
data,1280613600000,6;18511;14
data,1220220000000,6;6792;14
data,1228086000000,6;3940;14
data,1228086000000,6;13419;14
data,1296514800000,6;637;14
data,1217541600000,6;13454;14
data,1230764400000,6;16049;14
data,1259622000000,6;13638;14
data,1209592800000,6;6182;14
data,1238536800000,6;17308;14
data,1235862000000,6;4273;15
data,1196463600000,6;2032;15
data,1212271200000,6;211;15
data,1246399200000,6;173;16
data,1220220000000,6;2614;16
data,1162335600000,7;14476;16
data,1230764400000,7;2531;16
data,1183240800000,7;17726;16
data,1272664800000,7;16017;16
data,1162335600000,7;861;16
data,1304599045883,7;1186;16
data,1162335600000,7;1797;16
data,1241128800000,7;4118;16
data,1212271200000,7;1036;16
data,1183240800000,7;377;16
data,1246399200000,7;12788;16
data,1291158000000,7;10572;16
data,1285884000000,7;2947;16
data,1214863200000,7;2792;16
data,1283292000000,7;15875;16
data,1146434400000,7;8710;17
data,1243807200000,7;14646;17
data,1159653600000,7;13744;17
data,1183240800000,7;13548;17
data,1212271200000,7;9135;17
data,1222812000000,7;16567;17
data,1146434400000,7;3717;17
data,1277935200000,7;3097;17
data,1275343200000,7;9822;17
data,1293836400000,7;2607;17
data,1214863200000,7;4087;17
data,1212271200000,7;8482;17
data,1146434400000,7;6546;17
data,1288566000000,7;15752;17
data,1217541600000,7;995;18
data,1185919200000,7;5911;18
data,1267398000000,7;1951;18
data,1283292000000,7;999;19
data,1209592800000,7;5920;19
data,1220220000000,7;2420;19
data,1217541600000,7;4880;19
data,1133391600000,7;3920;19
data,1230764400000,7;16609;19
data,1241128800000,7;1151;19
data,1270072800000,7;1854;19
data,1228086000000,7;5590;19
data,1272664800000,7;1223;19
data,1209592800000,7;7663;20
data,1214863200000,7;518;21
data,1251756000000,7;6714;21
data,1283292000000,7;8649;21
data,1199142000000,7;91;21
data,1304934672165,7;5694;21
data,1222812000000,7;10585;22
data,1285884000000,7;2183;23
data,1288566000000,7;7511;23
data,1214863200000,7;7074;23
data,1183240800000,7;208;24
data,1270072800000,7;11174;24
data,1254348000000,7;4751;24
data,1222812000000,7;16169;24
data,1228086000000,7;5322;24
data,1225494000000,7;1239;24
data,1264978800000,7;1015;24
data,1238536800000,7;690;24
data,1304677107571,8;533;24
data,1275343200000,8;12998;24
data,1238536800000,8;991;24
data,1185919200000,8;434;24
data,1201820400000,8;3201;25
data,1185919200000,8;1580;25
data,1167606000000,8;193;26
data,1249077600000,8;5890;26
data,1288566000000,8;1031;26
data,1283292000000,8;2133;26
data,1277935200000,8;1492;26
data,1180648800000,8;5928;26
data,1249077600000,8;13214;26
data,1272664800000,9;3489;26
data,1212271200000,9;12788;26
data,1296514800000,9;622;27
data,1298934000000,9;17505;27
data,1154383200000,9;700;27
data,1254348000000,9;6197;27
data,1201820400000,9;858;28
data,1272664800000,9;5171;28
data,1283292000000,9;14032;28
data,1209592800000,9;1899;28
data,1238536800000,9;11998;29
data,1304682198720,9;8479;30
data,1209592800000,9;342;31
data,1285884000000,9;12105;31
data,1214863200000,9;421;31
data,1235862000000,9;3247;31
data,1293836400000,9;16531;31
data,1233442800000,9;424;31
data,1217541600000,9;10640;31
data,1272664800000,9;6303;31
data,1277935200000,9;1934;31
data,1304700079964,9;14139;31
data,1225494000000,9;8043;31
data,1212271200000,9;5476;31
data,1277935200000,9;285;32
data,1204326000000,9;12686;32
data,1280613600000,9;3706;32
data,1270072800000,9;2277;33
data,1180648800000,9;182;33
data,1298934000000,9;333;33
data,1222812000000,9;6997;33
data,1238536800000,9;3068;33
data,1246399200000,9;6602;33
data,1285884000000,9;229;33
data,1280613600000,9;13407;33
data,1283292000000,9;11701;33
data,1238536800000,9;18296;33
data,1149112800000,9;429;34
data,1298934000000,9;7188;34
data,1277935200000,9;15296;34
data,1257030000000,9;12105;34
data,1154383200000,9;11514;34
data,1262300400000,9;446;34
data,1201820400000,9;2277;34
data,1172703600000,9;2548;34
data,1291158000000,9;217;34
data,1143842400000,9;16271;34
data,1293836400000,9;1246;35
data,1257030000000,9;3940;35
data,1177970400000,9;12035;35
data,1249077600000,9;65;36
data,1246399200000,9;13645;36
data,1172703600000,9;12998;36
data,1201820400000,9;2815;36
data,1249077600000,9;11405;36
data,1230764400000,9;1193;36
data,1246399200000,9;2954;36
data,1175378400000,9;2571;36
data,1267398000000,9;18009;36
data,1175378400000,9;486;37
data,1199142000000,9;3074;37
data,1220220000000,9;16708;37
data,1267398000000,9;4261;37
data,1298934000000,9;513;37
data,1122847200000,9;99;38
data,1141167600000,9;3614;39
data,1185919200000,9;5412;39
data,1257030000000,9;1814;39
data,1207000800000,9;1034;39
data,1267398000000,9;190;40
data,1264978800000,9;99;40
data,1217541600000,9;715;41
data,1267398000000,9;1094;41
data,1285884000000,9;229;41
data,1277935200000,9;16139;41
data,1246399200000,9;1985;41
data,1259622000000,9;9977;41
data,1233442800000,9;7835;41
data,1285884000000,9;10069;41
data,1228086000000,9;3236;41
data,1270072800000,9;11174;41
data,1246399200000,9;10597;41
data,1204326000000,9;9977;42
data,1270072800000,10;1118;42
data,1225494000000,10;6299;42
data,1291158000000,10;61;42
data,1254348000000,10;15371;42
data,1222812000000,11;981;42
data,1251756000000,11;6883;42
data,1201820400000,11;8676;42
data,1243807200000,11;3082;42
data,1212271200000,11;7194;42
data,1228086000000,11;10214;42
data,1304607873055,11;668;42
data,1291158000000,11;6132;42
data,1196463600000,11;826;42
data,1159653600000,11;12918;42
data,1296514800000,11;7511;42
data,1151704800000,11;15869;42
data,1177970400000,11;75;42
data,1241128800000,11;3768;43
data,1288566000000,11;4371;43
data,1254348000000,11;6884;43
data,1230764400000,11;377;44
data,1214863200000,11;2420;44
data,1207000800000,11;3075;44
data,1264978800000,11;6165;44
data,1201820400000,11;2666;44
data,1304677196603,11;609;44
data,1164927600000,11;5153;44
data,1193871600000,11;4115;44
data,1262300400000,11;11182;44
data,1183240800000,11;203;45
data,1254348000000,11;867;45
data,1164927600000,11;716;45
data,1207000800000,11;16148;45
data,1251756000000,11;7187;46
data,1246399200000,11;5924;46
data,1225494000000,11;1988;46
data,1199142000000,11;359;46
data,1201820400000,12;534;46
data,1280613600000,12;10909;46
data,1175378400000,12;15752;46
data,1296514800000,13;2434;46
data,1172703600000,13;6804;46
data,1280613600000,13;4203;46
data,1285884000000,13;5410;46
data,1164927600000,13;431;46
data,1167606000000,13;5100;46
data,1280613600000,13;5550;46
data,1199142000000,13;217;46
data,1241128800000,13;191;46
data,1249077600000,13;298;46
data,1270072800000,13;11122;46
data,1257030000000,13;5153;46
data,1293836400000,13;4793;46
data,1304607127720,13;1390;46
data,1267398000000,13;4444;46
data,1270072800000,13;6204;46
data,1264978800000,13;1954;46
data,1254348000000,13;2844;46
data,1249077600000,13;157;47
data,1262300400000,13;11547;47
data,1291158000000,13;14727;47
data,1257030000000,13;425;48
data,1175378400000,13;499;48
data,1212271200000,13;10500;48
data,1288566000000,13;2383;48
data,1201820400000,13;190;48
data,1304690624176,14;1200;48
data,1175378400000,14;3399;48
data,1304608259002,14;17139;48
data,1270072800000,14;2591;48
data,1209592800000,14;6132;48
data,1288566000000,14;359;48
data,1277935200000,14;11049;48
data,1212271200000,14;12164;48
data,1196463600000,14;1374;48
data,1296514800000,14;230;48
data,1222812000000,14;17139;48
data,1249077600000,14;6221;48
data,1164927600000,14;2582;48
data,1212271200000,14;12169;48
