
New Run at  09/15/2015 00:45:16
, Time,RandomReward; CoLinReward; LinUCBReward; GOBLinReward
data,1275343200000,5;3;4;3
data,1233442800000,5;14;10;14
data,1235862000000,7;18;12;18
data,1283292000000,8;22;12;24
data,1225494000000,9;31;20;34
data,1267398000000,9;38;26;44
data,1175378400000,11;43;27;51
data,1254348000000,13;48;29;57
data,1196463600000,16;58;32;66
data,1251756000000,17;65;37;73
data,1251756000000,18;75;42;80
data,1251756000000,18;86;47;89
data,1233442800000,21;92;51;96
data,1233442800000,23;104;58;104
data,1225494000000,27;116;61;117
data,1285884000000,28;131;66;131
data,1283292000000,30;134;68;137
data,1233442800000,32;142;71;145
data,1304672928318,35;151;72;150
data,1280613600000,37;161;76;163
data,1257030000000,38;174;81;173
data,1207000800000,39;191;90;188
data,1280613600000,43;203;94;198
data,1254348000000,47;211;101;205
data,1298934000000,51;222;102;213
data,1249077600000,51;234;108;222
data,1230764400000,53;247;112;235
data,1222812000000,56;259;115;248
data,1162335600000,57;270;120;260
data,1167606000000,59;282;122;270
data,1267398000000,59;292;126;284
data,1264978800000,62;307;132;298
data,1254348000000,62;320;138;311
data,1162335600000,65;331;147;324
data,1280613600000,70;345;152;335
data,1275343200000,73;356;157;346
data,1262300400000,76;365;160;355
data,1285884000000,79;373;164;364
data,1191189600000,79;385;170;377
data,1257030000000,82;395;174;386
data,1238536800000,83;406;182;400
data,1154383200000,85;423;193;420
data,1170284400000,89;437;198;433
data,1241128800000,89;456;209;449
data,1254348000000,91;476;213;467
data,1207000800000,93;488;216;478
data,1220220000000,96;491;221;484
data,1183240800000,98;500;229;493
data,1267398000000,99;517;239;509
data,1220220000000,103;531;251;523
data,1298934000000,104;541;259;536
data,1212271200000,105;557;266;550
data,1172703600000,106;575;270;565
data,1291158000000,108;588;272;576
data,1209592800000,109;600;275;590
data,1288566000000,112;614;279;603
data,1233442800000,115;621;285;614
data,1251756000000,115;642;297;629
data,1254348000000,118;654;304;640
data,1280613600000,122;665;311;650
data,1209592800000,127;681;319;663
data,1133391600000,127;694;325;680
data,1217541600000,133;714;336;704
data,1249077600000,133;723;342;718
data,1285884000000,133;736;352;732
data,1277935200000,138;749;359;745
data,1235862000000,139;761;367;759
data,1257030000000,142;775;374;773
data,1251756000000,143;782;379;782
data,1199142000000,145;796;391;797
data,1230764400000,151;804;395;804
data,1233442800000,154;819;402;815
data,1267398000000,157;839;412;834
data,1296514800000,160;852;422;845
data,1193871600000,165;864;434;858
data,1199142000000,165;881;440;870
data,1304700117310,167;898;451;891
data,1280613600000,170;919;463;909
data,1196463600000,170;934;471;924
data,1283292000000,172;948;480;941
data,1267398000000,173;959;489;955
data,1204326000000,174;974;500;969
data,1283292000000,176;992;507;987
data,1264978800000,176;1003;510;997
data,1136070000000,176;1013;517;1015
data,1170284400000,178;1027;521;1027
data,1233442800000,181;1045;541;1048
data,1122847200000,181;1059;550;1064
data,1246399200000,182;1068;558;1077
data,1188597600000,184;1077;567;1092
data,1175378400000,186;1093;577;1110
data,1288566000000,187;1109;581;1125
data,1283292000000,189;1123;592;1137
data,1193871600000,189;1133;600;1148
data,1251756000000,189;1142;608;1157
data,1220220000000,190;1151;612;1167
data,1304692445012,193;1161;624;1179
data,1162335600000,195;1176;632;1198
data,1175378400000,197;1188;635;1208
data,1228086000000,199;1195;641;1217
data,1141167600000,200;1206;651;1227
data,1238536800000,201;1227;667;1252
data,1262300400000,203;1235;674;1260
data,1277935200000,205;1253;681;1274
data,1272664800000,205;1266;688;1288
data,1230764400000,206;1277;695;1301
data,1225494000000,207;1286;700;1310
data,1267398000000,208;1302;712;1328
data,1259622000000,211;1316;716;1341
data,1214863200000,213;1331;727;1361
data,1259622000000,216;1342;736;1371
data,1204326000000,218;1353;746;1384
data,1288566000000,221;1361;753;1392
data,1209592800000,222;1371;763;1405
data,1196463600000,224;1387;775;1420
data,1159653600000,224;1403;784;1435
data,1262300400000,224;1419;794;1455
data,1233442800000,225;1435;799;1471
